               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.033352,            0.072023,           0.0084621,             0.96172,             0.92569,             0.96557,             0.79982,            0.024042,            0.084532,           0.0057362,           0.0099357,           0.0099357,           0.0099357
                  67,            0.033148,            0.071549,           0.0083537,             0.94454,             0.93822,             0.96903,             0.79261,            0.024056,            0.086605,           0.0053254,           0.0099347,           0.0099347,           0.0099347
                  68,            0.033386,            0.070302,           0.0082546,             0.97176,             0.92321,             0.96844,             0.80209,             0.02334,            0.083803,           0.0055405,           0.0099337,           0.0099337,           0.0099337
                  69,            0.032776,            0.070534,           0.0082481,             0.96394,             0.95244,             0.96682,             0.79583,            0.023139,            0.081093,           0.0056761,           0.0099327,           0.0099327,           0.0099327
                  70,             0.03225,            0.070037,            0.008019,             0.94599,             0.93736,             0.96785,             0.80559,            0.023268,            0.083602,           0.0052253,           0.0099317,           0.0099317,           0.0099317
                  71,            0.032546,            0.070757,           0.0082334,             0.94527,             0.95969,             0.97205,             0.81799,            0.022809,            0.082127,           0.0053062,           0.0099307,           0.0099307,           0.0099307
                  72,            0.032684,            0.069435,           0.0079692,             0.96038,             0.93686,             0.97072,             0.79456,            0.023717,            0.081051,           0.0053772,           0.0099297,           0.0099297,           0.0099297
                  73,            0.032926,            0.070357,           0.0083207,             0.96429,             0.92665,             0.96668,             0.80445,            0.023428,            0.082666,           0.0050947,           0.0099287,           0.0099287,           0.0099287
                  74,            0.032322,            0.070529,           0.0078783,             0.95951,              0.9072,             0.95824,             0.79909,            0.023141,            0.083758,           0.0055928,           0.0099277,           0.0099277,           0.0099277
                  75,             0.03254,            0.070154,           0.0081761,             0.95377,             0.94776,             0.97291,             0.80026,            0.023017,            0.084294,            0.005147,           0.0099267,           0.0099267,           0.0099267
                  76,            0.032486,            0.070393,           0.0078441,             0.92623,             0.92778,             0.96201,             0.81318,            0.023106,            0.083244,           0.0058511,           0.0099258,           0.0099258,           0.0099258
                  77,            0.032955,            0.070075,            0.007943,             0.96566,             0.94993,             0.97028,             0.81871,             0.02326,            0.082892,           0.0051068,           0.0099248,           0.0099248,           0.0099248
                  78,            0.032627,            0.071336,           0.0080521,             0.94442,             0.95218,             0.97935,             0.82067,            0.022302,            0.077947,           0.0050816,           0.0099238,           0.0099238,           0.0099238
                  79,            0.032642,             0.06853,           0.0078109,             0.95096,             0.93374,             0.97195,             0.80728,             0.02236,            0.078979,           0.0049809,           0.0099228,           0.0099228,           0.0099228
                  80,            0.031643,            0.068913,           0.0075796,              0.9416,             0.93333,               0.976,             0.82279,            0.022257,            0.079401,           0.0056363,           0.0099218,           0.0099218,           0.0099218
                  81,            0.032593,            0.069819,           0.0079296,             0.93543,             0.95266,             0.96787,             0.81357,            0.022663,            0.082184,           0.0054656,           0.0099208,           0.0099208,           0.0099208
                  82,            0.032114,            0.068819,            0.007733,             0.95161,              0.9488,             0.96502,             0.81233,            0.023656,            0.082223,           0.0052546,           0.0099198,           0.0099198,           0.0099198
                  83,            0.031549,            0.069257,           0.0080152,             0.95641,             0.94365,             0.97382,             0.82396,            0.022171,            0.079362,           0.0054748,           0.0099188,           0.0099188,           0.0099188
                  84,            0.031564,            0.068812,            0.007869,             0.92773,             0.95459,             0.97445,             0.81145,            0.022371,            0.080844,           0.0050918,           0.0099178,           0.0099178,           0.0099178
                  85,            0.031535,            0.066748,           0.0078052,             0.95363,              0.9488,             0.97881,             0.82492,            0.022671,            0.078337,           0.0053915,           0.0099168,           0.0099168,           0.0099168
                  86,            0.031245,             0.06886,           0.0077724,             0.93417,              0.9482,             0.97115,             0.82001,            0.022249,            0.079289,           0.0059745,           0.0099159,           0.0099159,           0.0099159
                  87,            0.031366,            0.066995,           0.0075428,             0.94054,              0.9595,             0.97936,             0.81976,            0.021979,            0.076019,           0.0049334,           0.0099149,           0.0099149,           0.0099149
                  88,            0.032034,            0.068818,           0.0075432,             0.96357,             0.95915,             0.97045,             0.81625,            0.022471,             0.08166,           0.0055018,           0.0099139,           0.0099139,           0.0099139
                  89,            0.031927,            0.068031,           0.0077313,             0.95036,             0.94861,             0.98097,             0.82441,            0.022354,            0.080205,           0.0042212,           0.0099129,           0.0099129,           0.0099129
                  90,            0.031835,            0.068802,           0.0074413,             0.93971,             0.94772,             0.97278,              0.8209,            0.022361,            0.078404,           0.0050172,           0.0099119,           0.0099119,           0.0099119
                  91,            0.031007,             0.06657,           0.0074875,             0.93914,             0.96388,              0.9783,             0.82302,            0.021747,            0.075991,           0.0048035,           0.0099109,           0.0099109,           0.0099109
                  92,            0.031537,            0.067474,           0.0073704,              0.9583,             0.95212,             0.97767,             0.82197,            0.022391,            0.076725,           0.0046596,           0.0099099,           0.0099099,           0.0099099
                  93,            0.031332,            0.067897,           0.0076915,             0.93883,             0.96053,             0.97439,             0.81602,            0.022344,            0.079303,            0.005126,           0.0099089,           0.0099089,           0.0099089
                  94,            0.031117,            0.066904,            0.007412,             0.94715,             0.95838,             0.97204,             0.81635,            0.022308,            0.078324,           0.0054702,           0.0099079,           0.0099079,           0.0099079
                  95,            0.031176,            0.068855,           0.0073517,             0.95974,             0.94193,             0.97385,             0.82642,            0.021953,            0.079312,           0.0048708,           0.0099069,           0.0099069,           0.0099069
                  96,            0.031579,             0.06701,           0.0072493,             0.94765,             0.94129,             0.96859,             0.81103,            0.022457,            0.080548,           0.0047455,            0.009906,            0.009906,            0.009906
                  97,            0.031013,             0.06823,           0.0074378,             0.95716,             0.95917,             0.97651,             0.82079,            0.021872,             0.07567,           0.0049956,            0.009905,            0.009905,            0.009905
                  98,             0.03135,            0.067802,           0.0073039,             0.94799,             0.96554,             0.96881,             0.82492,            0.021997,            0.078684,           0.0049151,            0.009904,            0.009904,            0.009904
                  99,            0.031064,            0.067689,           0.0071937,             0.94336,             0.95326,              0.9702,             0.82635,            0.022622,            0.079932,           0.0047446,            0.009903,            0.009903,            0.009903
                 100,            0.031464,            0.068004,           0.0073004,             0.97076,             0.95766,             0.97515,             0.82705,            0.021815,            0.077137,           0.0044939,            0.009902,            0.009902,            0.009902
