               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.048717,            0.043469,            0.044138,             0.57951,              0.2002,             0.18419,            0.076661,            0.052591,            0.041819,            0.040912,           0.0095743,           0.0095743,           0.0095743
                 131,            0.050834,            0.043508,            0.039412,             0.63746,             0.24182,             0.21462,            0.086628,            0.050443,            0.041519,            0.040305,            0.009571,            0.009571,            0.009571
                 132,            0.049908,            0.043882,            0.042196,             0.63746,             0.24182,             0.21462,            0.086628,            0.050443,            0.041519,            0.040305,           0.0095677,           0.0095677,           0.0095677
                 133,            0.047255,            0.041879,            0.040709,             0.60267,             0.20096,             0.19906,            0.085132,            0.052817,            0.040916,            0.040066,           0.0095644,           0.0095644,           0.0095644
                 134,            0.054764,            0.046293,            0.043376,             0.60267,             0.20096,             0.19906,            0.085132,            0.052817,            0.040916,            0.040066,           0.0095611,           0.0095611,           0.0095611
                 135,            0.052662,            0.044811,            0.043823,             0.59959,             0.24664,             0.21893,            0.082876,            0.046208,            0.038533,            0.039388,           0.0095578,           0.0095578,           0.0095578
                 136,            0.052154,            0.043479,             0.04177,             0.59959,             0.24664,             0.21893,            0.082876,            0.046208,            0.038533,            0.039388,           0.0095545,           0.0095545,           0.0095545
                 137,            0.051008,            0.042029,            0.046211,             0.62239,             0.24656,             0.22586,             0.10304,            0.048853,            0.038945,             0.03857,           0.0095512,           0.0095512,           0.0095512
                 138,            0.055452,            0.037066,            0.047392,             0.62239,             0.24656,             0.22586,             0.10304,            0.048853,            0.038945,             0.03857,           0.0095479,           0.0095479,           0.0095479
                 139,            0.053798,            0.029317,             0.04513,             0.59283,             0.23205,             0.19435,            0.083481,            0.047308,            0.038827,            0.038176,           0.0095446,           0.0095446,           0.0095446
                 140,            0.055602,             0.04019,            0.038478,             0.59283,             0.23205,             0.19435,            0.083481,            0.047308,            0.038827,            0.038176,           0.0095413,           0.0095413,           0.0095413
                 141,            0.056775,            0.055187,             0.04065,             0.63229,             0.27267,             0.23354,             0.10698,            0.047736,            0.038892,            0.038004,            0.009538,            0.009538,            0.009538
                 142,            0.054201,            0.046197,            0.042929,             0.63229,             0.27267,             0.23354,             0.10698,            0.047736,            0.038892,            0.038004,           0.0095347,           0.0095347,           0.0095347
                 143,            0.053469,            0.047903,            0.041613,             0.64352,             0.27284,             0.24895,             0.11789,            0.044489,            0.039726,            0.037716,           0.0095314,           0.0095314,           0.0095314
                 144,            0.049377,            0.040738,            0.038986,             0.64352,             0.27284,             0.24895,             0.11789,            0.044489,            0.039726,            0.037716,           0.0095281,           0.0095281,           0.0095281
                 145,            0.045431,             0.04058,            0.042271,             0.64284,             0.28276,             0.26293,             0.11942,            0.049754,             0.03876,            0.037461,           0.0095248,           0.0095248,           0.0095248
                 146,            0.043781,            0.043278,            0.038468,             0.64284,             0.28276,             0.26293,             0.11942,            0.049754,             0.03876,            0.037461,           0.0095215,           0.0095215,           0.0095215
                 147,            0.053567,            0.041829,            0.038622,             0.65247,             0.26202,             0.26307,             0.11474,            0.046972,            0.037626,            0.037094,           0.0095182,           0.0095182,           0.0095182
                 148,            0.050525,            0.044591,            0.042546,             0.65247,             0.26202,             0.26307,             0.11474,            0.046972,            0.037626,            0.037094,           0.0095149,           0.0095149,           0.0095149
                 149,            0.049492,            0.040821,            0.041666,              0.6593,             0.26213,             0.26317,             0.12142,            0.044027,            0.036901,            0.037043,           0.0095116,           0.0095116,           0.0095116
                 150,            0.049357,             0.03684,            0.042289,              0.6593,             0.26213,             0.26317,             0.12142,            0.044027,            0.036901,            0.037043,           0.0095083,           0.0095083,           0.0095083
                 151,            0.050229,            0.031742,            0.040789,             0.64013,             0.30262,             0.25724,             0.12475,            0.044867,            0.036036,            0.037382,            0.009505,            0.009505,            0.009505
                 152,            0.048619,            0.040927,            0.041244,             0.64013,             0.30262,             0.25724,             0.12475,            0.044867,            0.036036,            0.037382,           0.0095017,           0.0095017,           0.0095017
